location,lat,long,category,time,time_classification,date,description,reported
Juja Square,-1.098,37.019,robbery,19:50,evening,2024-11-29,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
Highpoint,-1.1,37.015,sexual harrasment,19:37,evening,2024-07-09,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
Highpoint,-1.1,37.015,drug possession,06:20,morning,2024-12-24,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
Cherry Park,-1.0948,37.0106,battery,16:43,afternoon,2024-09-25,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",no
JKUAT Enterprises LTD.,-1.0915,37.014,phone snatching,21:12,night,2025-02-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Cherry Park,-1.0948,37.0106,assault,08:29,morning,2024-08-15,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,fraud,16:11,afternoon,2024-05-31,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
Cherry Park,-1.0948,37.0106,phone snatching,21:34,night,2025-04-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",no
Juja Market,-1.096,37.0175,battery,20:59,evening,2025-04-01,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
Gachororo,-1.0905,37.0119,reckless driving,18:10,evening,2024-10-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
Juja City Mall,-1.095,37.0165,robbery,03:42,night,2024-11-09,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Enterprises LTD.,-1.0915,37.014,assault,02:14,night,2025-02-07,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gate C,-1.0922,37.0131,phone snatching,12:47,afternoon,2025-04-29,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT Enterprises LTD.,-1.0915,37.014,domestic violence,21:51,night,2024-12-14,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gachororo,-1.0905,37.0119,kidnapping,19:44,evening,2025-02-02,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,traffic violations,13:33,afternoon,2024-05-30,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",no
Gate C,-1.0922,37.0131,murder,07:24,morning,2025-07-07,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Gachororo,-1.0905,37.0119,fraud,10:55,morning,2025-04-22,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,yes
Gachororo,-1.0905,37.0119,drug possession,07:10,morning,2025-05-01,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,00:35,night,2024-05-16,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,traffic violations,00:15,night,2025-07-02,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate C,-1.0922,37.0131,phone snatching,12:54,afternoon,2025-02-13,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate B,-1.0932,37.0125,assault,10:58,morning,2025-06-04,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,domestic violence,21:57,night,2025-03-25,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",no
Juja City Mall,-1.095,37.0165,fraud,10:55,morning,2025-07-06,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",yes
Juja City Mall,-1.095,37.0165,sexual harrasment,17:29,evening,2025-02-22,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Main Gate,-1.0925,37.011,kidnapping,10:34,morning,2024-09-03,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Market,-1.096,37.0175,battery,05:34,night,2025-01-10,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",yes
Gate B,-1.0932,37.0125,sexual harrasment,14:42,afternoon,2025-02-18,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",yes
Highpoint,-1.1,37.015,robbery,12:25,afternoon,2025-03-29,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Juja City Mall,-1.095,37.0165,drug trafficking,18:30,evening,2024-10-04,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,11:34,morning,2024-08-22,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,fraud,07:34,morning,2024-10-01,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Juja City Mall,-1.095,37.0165,drug trafficking,23:24,night,2024-11-21,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,no
Highpoint,-1.1,37.015,fraud,13:59,afternoon,2024-05-21,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",no
JKUAT hostels area,-1.09,37.012,drug possession,04:58,night,2024-12-22,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,no
Juja Police Station,-1.0948,37.0106,drug trafficking,11:40,morning,2025-02-07,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Gate B,-1.0932,37.0125,reckless driving,05:04,night,2024-12-04,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,battery,16:34,afternoon,2025-04-23,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.",yes
Juja City Mall,-1.095,37.0165,assault,14:50,afternoon,2025-07-12,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.",yes
Juja City Mall,-1.095,37.0165,drug possession,10:24,morning,2024-11-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
JKUAT Main Gate,-1.0925,37.011,reckless driving,00:07,night,2025-04-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
Juja Stage,-1.099,37.02,drug trafficking,00:23,night,2025-03-18,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Gate B,-1.0932,37.0125,kidnapping,05:23,night,2025-01-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
Highpoint,-1.1,37.015,battery,02:58,night,2025-05-05,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Main Gate,-1.0925,37.011,armed robbery,18:21,evening,2024-11-12,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT Main Gate,-1.0925,37.011,fraud,03:36,night,2024-08-28,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Main Gate,-1.0925,37.011,traffic violations,11:56,morning,2024-06-04,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate B,-1.0932,37.0125,robbery,03:35,night,2024-08-20,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,sexual harrasment,14:42,afternoon,2024-11-08,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
JKUAT Main Gate,-1.0925,37.011,kidnapping,17:20,evening,2025-03-13,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",no
JKUAT hostels area,-1.09,37.012,drug trafficking,01:20,night,2024-12-14,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
Cherry Park,-1.0948,37.0106,fraud,15:40,afternoon,2024-11-22,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gachororo,-1.0905,37.0119,murder,13:42,afternoon,2025-04-02,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Juja Police Station,-1.0948,37.0106,assault,02:21,night,2024-05-15,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
JKUAT Hospital,-1.09,37.012,assault,07:46,morning,2024-09-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Juja City Mall,-1.095,37.0165,kidnapping,03:08,night,2024-05-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.",no
Gate C,-1.0922,37.0131,drug possession,06:29,morning,2024-05-16,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Square,-1.098,37.019,drug possession,14:39,afternoon,2024-12-16,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Juja Stage,-1.099,37.02,murder,02:29,night,2024-05-05,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,yes
Gachororo,-1.0905,37.0119,assault,07:48,morning,2024-07-10,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",no
Gachororo,-1.0905,37.0119,kidnapping,01:14,night,2025-06-15,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.",no
Juja Police Station,-1.0905,37.0119,drug possession,04:29,night,2024-05-10,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Juja Square,-1.098,37.019,traffic violations,00:45,night,2024-12-13,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,yes
Gate B,-1.0932,37.0125,traffic violations,10:59,morning,2025-03-03,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
Cherry Park,-1.0948,37.0106,phone snatching,08:16,morning,2025-06-09,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,06:46,morning,2025-01-23,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,yes
Juja City Mall,-1.095,37.0165,fraud,00:43,night,2024-11-19,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
JKUAT Hospital,-1.095,37.0165,drug possession,19:50,evening,2025-06-29,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Square,-1.098,37.019,armed robbery,06:24,morning,2024-08-22,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.,no
Gachororo,-1.0905,37.0119,phone snatching,20:21,evening,2024-07-15,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,sexual harrasment,07:09,morning,2024-06-22,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug possession,01:19,night,2024-09-01,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
Juja Stage,-1.099,37.02,traffic violations,07:36,morning,2024-05-17,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,no
Highpoint,-1.1,37.015,domestic violence,21:47,night,2025-05-03,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,domestic violence,09:52,morning,2024-10-10,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,traffic violations,02:33,night,2024-06-12,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,07:52,morning,2024-12-14,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",no
Highpoint,-1.1,37.015,domestic violence,06:08,morning,2025-07-13,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",no
Highpoint,-1.1,37.015,murder,17:11,evening,2024-09-23,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.,yes
Juja Stage,-1.099,37.02,robbery,10:44,morning,2024-09-06,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.",no
Gachororo,-1.0905,37.0119,drug possession,18:58,evening,2025-02-14,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",no
Juja Square,-1.098,37.019,fraud,02:11,night,2024-12-28,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.",yes
Gachororo,-1.0905,37.0119,reckless driving,09:23,morning,2024-06-21,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Juja Square,-1.098,37.019,traffic violations,12:55,afternoon,2024-06-28,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.,yes
Juja Stage,-1.099,37.02,sexual harrasment,17:46,evening,2024-11-07,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",no
Gate C,-1.0922,37.0131,reckless driving,04:54,night,2024-06-08,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,drug trafficking,14:19,afternoon,2025-05-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
Gate C,-1.0922,37.0131,kidnapping,01:47,night,2025-01-23,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Square,-1.098,37.019,armed robbery,19:38,evening,2025-06-21,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati kuna mtu alichukua picha kwa kutumia simu.",yes
Highpoint,-1.1,37.015,drug trafficking,08:02,morning,2024-12-26,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Main Gate,-1.0925,37.011,fraud,05:41,night,2024-08-27,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
JKUAT Enterprises LTD.,-1.0915,37.014,phone snatching,02:42,night,2025-06-30,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",yes
Juja City Mall,-1.095,37.0165,armed robbery,17:17,evening,2024-09-03,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,no
JKUAT hostels area,-1.09,37.012,armed robbery,08:27,morning,2025-04-23,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
JKUAT Enterprises LTD.,-1.0915,37.014,phone snatching,04:38,night,2025-03-28,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
Juja Police Station,-1.091,37.0135,drug possession,05:38,night,2025-02-16,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,no
JKUAT Main Gate,-1.0925,37.011,drug trafficking,09:00,morning,2025-02-09,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
JKUAT hostels area,-1.09,37.012,armed robbery,19:22,evening,2024-08-02,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,murder,00:32,night,2025-04-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,domestic violence,14:16,afternoon,2024-05-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",no
Highpoint,-1.1,37.015,robbery,13:55,afternoon,2025-06-21,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,yes
Gate C,-1.0922,37.0131,reckless driving,03:07,night,2024-09-10,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
JKUAT Enterprises LTD.,-1.0915,37.014,kidnapping,05:54,night,2024-12-02,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,no
Gachororo,-1.0905,37.0119,armed robbery,08:43,morning,2024-10-27,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati kulikuwa na vilio na machafuko makubwa.",no
Gate C,-1.0922,37.0131,battery,09:16,morning,2025-02-28,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.",yes
Juja City Mall,-1.095,37.0165,burglary,15:32,afternoon,2024-11-05,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Gate C,-1.0922,37.0131,battery,17:26,evening,2025-06-24,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
Juja Police Station,-1.0922,37.0131,drug trafficking,00:06,night,2024-07-25,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
JKUAT hostels area,-1.09,37.012,phone snatching,20:01,evening,2024-12-05,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",yes
Juja Stage,-1.099,37.02,domestic violence,22:56,night,2024-09-27,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,assault,09:10,morning,2025-04-01,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Gate C,-1.0922,37.0131,phone snatching,01:14,night,2024-12-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",no
Gate C,-1.0922,37.0131,drug possession,11:14,morning,2024-05-18,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
JKUAT hostels area,-1.09,37.012,robbery,14:43,afternoon,2024-05-03,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Highpoint,-1.1,37.015,fraud,01:55,night,2024-05-29,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,armed robbery,16:25,afternoon,2025-04-07,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
Juja Police Station,-1.097,37.018,drug possession,06:39,morning,2024-12-01,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.,no
Gachororo,-1.0905,37.0119,assault,19:35,evening,2025-04-18,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,murder,00:12,night,2025-04-01,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,yes
Gate B,-1.0932,37.0125,fraud,02:39,night,2024-07-30,Mimi binafsi niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate B,-1.0932,37.0125,drug trafficking,14:00,afternoon,2025-03-26,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,yes
Gate C,-1.0922,37.0131,phone snatching,09:02,morning,2025-06-18,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.",no
Gate C,-1.0922,37.0131,sexual harrasment,01:41,night,2024-12-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
Gate B,-1.0932,37.0125,domestic violence,08:44,morning,2024-08-20,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,assault,23:25,night,2025-02-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",yes
Gate C,-1.0922,37.0131,fraud,06:16,morning,2024-12-15,Mimi binafsi niliona jinsi mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,yes
Gate C,-1.0922,37.0131,burglary,07:45,morning,2024-11-14,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",no
JKUAT Hospital,-1.099,37.02,assault,12:50,afternoon,2025-04-05,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja Market,-1.096,37.0175,drug possession,18:11,evening,2024-05-25,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",no
Cherry Park,-1.0948,37.0106,kidnapping,15:25,afternoon,2025-03-03,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini walionekana wakitumia panga na silaha nyingine.,no
Juja Square,-1.098,37.019,armed robbery,23:48,night,2024-07-04,Kwa macho yangu mwenyewe niliona kwamba mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,no
Juja Police Station,-1.098,37.019,drug possession,08:08,morning,2025-05-19,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",yes
Juja Market,-1.096,37.0175,kidnapping,06:23,morning,2025-07-12,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kuna mtu alichukua picha kwa kutumia simu.",yes
